epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,2110.36,0.42431,0.47437,0.82909,0.99482,0.99532,0.995,0.93115,0.36937,0.53576,0.79203,0.00017335,0.00017335,0.00017335
169,2122.79,0.40619,0.47858,0.82838,0.99482,0.99532,0.995,0.93115,0.36937,0.53576,0.79203,0.0001684,0.0001684,0.0001684
170,2135.28,0.39481,0.46352,0.84659,0.99481,0.99525,0.995,0.93784,0.35094,0.53009,0.79082,0.00016345,0.00016345,0.00016345
171,2147.97,0.4042,0.46321,0.80901,0.99481,0.99525,0.995,0.93784,0.35094,0.53009,0.79082,0.0001585,0.0001585,0.0001585
172,2160.54,0.39216,0.482,0.85425,0.99143,0.9985,0.995,0.94649,0.33158,0.51477,0.78423,0.00015355,0.00015355,0.00015355
173,2172.94,0.38723,0.47359,0.8576,0.99143,0.9985,0.995,0.94649,0.33158,0.51477,0.78423,0.0001486,0.0001486,0.0001486
174,2185.61,0.37765,0.44596,0.83626,0.99182,1,0.995,0.94388,0.33246,0.5004,0.78415,0.00014365,0.00014365,0.00014365
175,2198.1,0.42107,0.48242,0.85762,0.99182,1,0.995,0.94388,0.33246,0.5004,0.78415,0.0001387,0.0001387,0.0001387
176,2210.59,0.41185,0.47499,0.85116,0.99331,1,0.995,0.94561,0.33053,0.48367,0.78623,0.00013375,0.00013375,0.00013375
177,2223.18,0.35759,0.48359,0.84346,0.99331,1,0.995,0.94561,0.33053,0.48367,0.78623,0.0001288,0.0001288,0.0001288
178,2235.64,0.38874,0.48008,0.86112,0.99463,1,0.995,0.95022,0.32298,0.46732,0.78495,0.00012385,0.00012385,0.00012385
179,2248.09,0.38145,0.4583,0.83211,0.99463,1,0.995,0.95022,0.32298,0.46732,0.78495,0.0001189,0.0001189,0.0001189
180,2260.85,0.37178,0.44945,0.817,0.99554,1,0.995,0.94594,0.3379,0.45943,0.78399,0.00011395,0.00011395,0.00011395
181,2273.31,0.45161,0.5067,0.84916,0.99554,1,0.995,0.94594,0.3379,0.45943,0.78399,0.000109,0.000109,0.000109
182,2286.34,0.40043,0.44443,0.82589,0.99605,1,0.995,0.93974,0.34879,0.45939,0.78384,0.00010405,0.00010405,0.00010405
